timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742381623646,577,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,,true,,4987,578,9,14,null,577,1,434
1742381623682,584,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-27,,true,,5664,525,4,14,null,0,1,438
1742381623683,584,02_01_Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-27,text,true,,5664,525,4,14,https://petstore.octoperf.com/actions/Catalog.action,583,0,438
1742381624138,144,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,3442,924,9,14,https://petstore.octoperf.com/actions/Catalog.action,144,0,0
1742381624044,144,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,3442,924,9,14,null,144,94,0
1742381624189,144,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-54,text,true,,3441,923,9,14,https://petstore.octoperf.com/actions/Catalog.action,143,0,0
1742381624170,144,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-54,,true,,3441,923,9,14,null,143,19,0
1742381624205,144,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4081,923,9,14,https://petstore.octoperf.com/actions/Catalog.action,144,0,0
1742381624138,144,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4081,923,9,14,null,144,68,0
1742381624282,144,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,text,true,,3441,923,9,14,https://petstore.octoperf.com/actions/Catalog.action,144,0,0
1742381624224,144,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,,true,,3441,923,9,14,null,144,58,0
1742381623851,577,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,4986,578,9,14,https://petstore.octoperf.com/actions/Catalog.action,577,0,433
1742381623850,577,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,4986,578,9,14,null,577,1,433
1742381623894,578,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,text,true,,4986,578,9,14,https://petstore.octoperf.com/actions/Catalog.action,578,0,434
1742381623893,578,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,,true,,4986,578,9,14,null,578,1,434
1742381623980,582,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,text,true,,4986,578,9,14,https://petstore.octoperf.com/actions/Catalog.action,582,0,437
1742381623979,582,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,,true,,4986,578,9,14,null,582,1,437
1742381624501,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,text,true,,3442,924,10,15,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381624472,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,,true,,3442,924,10,15,null,145,29,0
1742381624512,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,3445,927,10,15,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381624428,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,3445,927,10,15,null,145,84,0
1742381624084,575,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-53,text,true,,5664,525,10,15,https://petstore.octoperf.com/actions/Catalog.action,575,0,432
1742381624083,575,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-53,,true,,5664,525,10,15,null,575,2,432
1742381624594,146,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,text,true,,4081,923,10,16,https://petstore.octoperf.com/actions/Catalog.action,146,0,0
1742381624562,146,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,,true,,4081,923,10,16,null,146,32,0
1742381624223,583,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,text,true,,4990,578,10,16,https://petstore.octoperf.com/actions/Catalog.action,583,0,438
1742381624223,583,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,,true,,4990,578,10,16,null,583,0,438
1742381624283,579,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,4987,578,10,16,https://petstore.octoperf.com/actions/Catalog.action,578,0,434
1742381624282,579,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,4987,578,10,16,null,578,1,434
1742381624756,143,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-53,text,true,,3441,923,10,16,https://petstore.octoperf.com/actions/Catalog.action,143,0,0
1742381624660,143,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-53,,true,,3441,923,10,16,null,143,97,0
1742381624334,579,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-54,text,true,,4986,578,10,16,https://petstore.octoperf.com/actions/Catalog.action,579,0,435
1742381624333,579,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-54,,true,,4986,578,10,16,null,579,1,435
1742381624350,581,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4986,578,10,16,https://petstore.octoperf.com/actions/Catalog.action,581,0,437
1742381624350,581,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4986,578,10,16,null,581,0,437
1742381624866,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,text,true,,3441,923,10,16,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381624806,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,,true,,3441,923,10,16,null,145,61,0
1742381624426,586,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,text,true,,4986,578,10,16,https://petstore.octoperf.com/actions/Catalog.action,586,0,440
